point,algorithm,time,coverage,length,rotation
0 - [-12.59000015  11.          -5.29468489],BAstar,210,97.34,3481,1718
0 - [-12.59000015  11.          -5.29468489],BAstar,220,97.34,3481,1718
0 - [-12.59000015  11.          -5.29468489],BAstar,230,97.34,3481,1718
0 - [-12.59000015  11.          -5.29468489],BAstar,240,97.34,3481,1718
0 - [-12.59000015  11.          -5.29468489],BAstar,250,97.34,3481,1718
0 - [-12.59000015  11.          -5.29468489],BAstar,260,97.34,3481,1718
0 - [-12.59000015  11.          -5.29468489],BAstar,270,97.34,3481,1718
0 - [-12.59000015  11.          -5.29468489],BAstar,280,97.34,3481,1718
0 - [-12.59000015  11.          -5.29468489],BAstar,290,97.34,3481,1718
0 - [-12.59000015  11.          -5.29468489],BAstar,300,97.34,3481,1718
0 - [-12.59000015  11.          -5.29468489],BAstar,310,97.34,3481,1718
0 - [-12.59000015  11.          -5.29468489],BAstar,320,97.34,3481,1718
0 - [-12.59000015  11.          -5.29468489],BAstar,330,97.34,3481,1718
0 - [-12.59000015  11.          -5.29468489],BAstar,340,97.34,3481,1718
0 - [-12.59000015  11.          -5.29468489],BAstar,350,97.34,3481,1718
0 - [-12.59000015  11.          -5.29468489],BAstar,360,97.34,3481,1718
0 - [-12.59000015  11.          -5.29468489],BAstar,370,97.34,3481,1718
0 - [-12.59000015  11.          -5.29468489],BAstar,380,97.34,3481,1718
0 - [-12.59000015  11.          -5.29468489],BAstar,390,97.34,3481,1718
0 - [-12.59000015  11.          -5.29468489],BAstar,400,97.34,3481,1718
0 - [-12.59000015  11.          -5.29468489],BAstar,410,97.34,3481,1718
0 - [-12.59000015  11.          -5.29468489],BAstar,420,97.34,3481,1718
0 - [-12.59000015  11.          -5.29468489],BAstar,430,97.34,3481,1718
0 - [-12.59000015  11.          -5.29468489],BAstar,440,97.34,3481,1718
0 - [-12.59000015  11.          -5.29468489],BAstar,450,97.34,3481,1718
0 - [-12.59000015  11.          -5.29468489],BAstar,460,97.34,3481,1718
0 - [-12.59000015  11.          -5.29468489],BAstar,470,97.34,3481,1718
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,0,0,0,0
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,10,40.73,963,1054
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,20,52.44,1334,1426
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,30,61.58,1725,1801
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,40,65.5,1993,2049
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,50,74.05,2253,2295
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,60,74.18,2315,2325
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,70,74.24,2378,2330
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,80,79.88,2492,2422
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,90,83.62,2633,2568
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,100,87.19,2760,2676
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,110,93.62,2985,2892
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,120,97.53,3166,3061
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,130,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,140,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,150,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,160,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,170,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,180,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,190,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,200,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,210,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,220,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,230,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,240,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,250,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,260,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,270,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,280,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,290,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,300,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,310,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,320,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,330,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,340,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,350,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,360,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,370,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,380,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,390,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,400,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,410,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,420,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,430,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,440,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,450,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,460,97.74,3231,3110
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,470,97.74,3231,3110
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,0,0,0,0
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,10,34.77,1067,1101
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,20,53.56,1474,1511
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,30,72.05,1835,1870
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,40,82.11,2120,2118
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,50,86.73,2403,2351
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,60,88.31,2668,2509
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,70,88.46,2840,2548
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,80,88.52,2997,2580
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,90,88.68,3175,2627
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,100,88.74,3297,2648
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,110,94.88,3490,2803
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,120,97.51,3735,2975
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,130,97.97,3951,3067
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,140,98.09,4105,3101
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,150,98.14,4223,3121
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,160,98.16,4305,3127
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,170,98.21,4399,3136
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,180,98.23,4466,3142
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,190,98.24,4509,3147
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,200,98.24,4554,3152
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,210,98.25,4667,3160
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,220,98.28,4705,3163
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,230,98.28,4705,3163
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,240,98.28,4705,3163
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,250,98.28,4705,3163
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,260,98.28,4705,3163
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,270,98.28,4705,3163
