point,algorithm,time,coverage,length,rotation,,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.9,10,35.26,1078,973,3.2708719851577,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.9,20,52.83,1499,1352,3.52434956637758,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.9,30,64.37,1798,1622,3.58008898776418,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.9,40,71.07,2054,1837,3.46007789678676,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.9,50,74.98,2265,1950,3.31037527593819,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.9,60,75.95,2410,2012,3.15145228215768,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.9,70,76.34,2563,2060,2.97854077253219,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.9,80,79.61,2773,2159,2.87089794446448,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.9,90,87.36,2971,2347,2.94042409962975,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.9,100,89.35,3147,2467,2.83921194788688,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.9,110,89.9,3286,2528,2.73584905660377,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.9,120,90.51,3445,2575,2.62728592162554,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.9,130,90.72,3615,2608,2.50954356846473,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.9,140,90.97,3750,2636,2.42586666666667,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.9,150,91.31,3908,2668,2.33648925281474,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.9,160,91.53,4039,2692,2.26615498885863,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.9,170,91.91,4201,2725,2.18781242561295,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.9,180,92.07,4299,2730,2.14166085136078,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.9,190,92.24,4376,2741,2.10786106032907,2.80341129215959
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.9,0,0,0,0,#DIV/0!,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.9,10,26.87,684,647,3.92836257309942,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.9,20,37.69,1157,1004,3.25756266205704,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.9,30,48.89,1574,1363,3.10609911054638,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.9,40,67.46,1981,1837,3.40535083291267,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.9,50,78.56,2248,2169,3.49466192170819,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.9,60,81.92,2395,2353,3.42045929018789,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.9,70,87.55,2599,2579,3.36860330896499,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.9,80,92.55,2847,2842,3.25079030558483,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.9,90,92.84,2955,2876,3.14179357021997,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.9,100,92.86,2989,2885,3.10672465707594,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.9,110,92.86,2989,2885,3.10672465707594,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.9,120,92.86,2989,2885,3.10672465707594,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.9,130,92.86,2989,2885,3.10672465707594,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.9,140,92.86,2989,2885,3.10672465707594,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.9,150,92.86,2989,2885,3.10672465707594,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.9,160,92.86,2989,2885,3.10672465707594,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.9,170,92.86,2989,2885,3.10672465707594,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.9,180,92.86,2989,2885,3.10672465707594,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.9,190,92.86,2989,2885,3.10672465707594,3.23373316558109
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.95,0,0,0,0,#DIV/0!,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.95,10,28.84,951,484,3.03259726603575,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.95,20,45.74,1406,712,3.25320056899004,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.95,30,57.42,1813,977,3.16712630998345,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.95,40,75.12,2171,1131,3.46015660985721,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.95,50,80.96,2423,1286,3.34131242261659,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.95,60,81.26,2479,1332,3.27793465106898,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.95,70,82.34,2617,1360,3.1463507833397,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.95,80,82.58,2697,1376,3.06192065257694,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.95,90,82.66,2719,1398,3.04008826774549,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.95,100,82.68,2733,1403,3.02524698133919,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.95,110,82.92,2823,1417,2.93730074388948,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.95,120,82.92,2823,1417,2.93730074388948,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.95,130,85.31,2949,1456,2.89284503221431,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.95,140,85.53,2981,1464,2.86917141898692,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.95,150,85.66,3031,1471,2.82612999010228,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.95,160,85.72,3037,1481,2.8225222258808,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.95,170,85.72,3037,1481,2.8225222258808,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.95,180,85.83,3143,1495,2.73083041679924,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.95,190,87.89,3214,1529,2.73459863098942,3.01995557590453
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.95,0,0,0,0,#DIV/0!,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.95,10,38.86,1126,982,3.45115452930728,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.95,20,56.41,1561,1342,3.61370916079436,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.95,30,70.2,1959,1629,3.58346094946401,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.95,40,75.41,2230,1806,3.38161434977578,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.95,50,76.26,2467,1883,3.09120389136603,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.95,60,82.31,2651,2011,3.10486608826858,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.95,70,85.59,2817,2137,3.03833865814696,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.95,80,86.01,2977,2186,2.88915015115889,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.95,90,86.69,3115,2228,2.78298555377207,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.95,100,87.19,3235,2259,2.6952086553323,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.95,110,87.68,3348,2276,2.61887694145759,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.95,120,87.86,3431,2287,2.5607694549694,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.95,130,88.18,3471,2297,2.54047824834342,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.95,140,88.33,3531,2304,2.50155763239875,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.95,150,88.63,3565,2309,2.48611500701262,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.95,160,88.97,3647,2335,2.43953934740883,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.95,170,89.15,3729,2350,2.39072137302226,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.95,180,89.29,3780,2354,2.36216931216931,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.95,190,89.54,3889,2388,2.30239136024685,2.83338477181133
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.95,0,0,0,0,#DIV/0!,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.95,10,31.25,888,753,3.51914414414414,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.95,20,37.2,1135,914,3.27753303964758,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.95,30,37.35,1187,917,3.14658803706824,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.95,40,52.72,1657,1309,3.1816535908268,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.95,50,61.2,1975,1606,3.09873417721519,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.95,60,76.78,2286,1914,3.35870516185477,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.95,70,88.16,2550,2078,3.45725490196078,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.95,80,91.84,2715,2221,3.38268876611418,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.95,90,92.35,2831,2267,3.26209819851642,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.95,100,92.45,2888,2273,3.20117728531856,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.95,110,92.45,2888,2273,3.20117728531856,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.95,120,92.45,2888,2273,3.20117728531856,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.95,130,92.45,2888,2273,3.20117728531856,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.95,140,92.45,2888,2273,3.20117728531856,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.95,150,92.45,2888,2273,3.20117728531856,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.95,160,92.45,2888,2273,3.20117728531856,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.95,170,92.45,2888,2273,3.20117728531856,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.95,180,92.45,2888,2273,3.20117728531856,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.95,190,92.45,2888,2273,3.20117728531856,3.24716699318598
0 - [-12.59000015  11.          -5.29468489],BAstar - 1.0,0,0,0,0,#DIV/0!,
0 - [-12.59000015  11.          -5.29468489],BAstar - 1.0,10,33.61,744,316,4.51747311827957,
0 - [-12.59000015  11.          -5.29468489],BAstar - 1.0,20,44.15,1119,522,3.94548704200179,
0 - [-12.59000015  11.          -5.29468489],BAstar - 1.0,30,54.57,1439,702,3.79221681723419,
0 - [-12.59000015  11.          -5.29468489],BAstar - 1.0,40,57.99,1668,841,3.47661870503597,
0 - [-12.59000015  11.          -5.29468489],BAstar - 1.0,50,62.18,1896,945,3.2795358649789,
0 - [-12.59000015  11.          -5.29468489],BAstar - 1.0,60,62.55,1943,950,3.21924858466289,
0 - [-12.59000015  11.          -5.29468489],BAstar - 1.0,70,68.68,2032,1010,3.37992125984252,
0 - [-12.59000015  11.          -5.29468489],BAstar - 1.0,80,76.07,2236,1092,3.4020572450805,
0 - [-12.59000015  11.          -5.29468489],BAstar - 1.0,90,82.28,2467,1211,3.3352249695987,
0 - [-12.59000015  11.          -5.29468489],BAstar - 1.0,100,86.74,2678,1318,3.23898431665422,
0 - [-12.59000015  11.          -5.29468489],BAstar - 1.0,110,88.57,2815,1418,3.14635879218472,
0 - [-12.59000015  11.          -5.29468489],BAstar - 1.0,120,88.57,2815,1418,3.14635879218472,
0 - [-12.59000015  11.          -5.29468489],BAstar - 1.0,130,88.57,2815,1418,3.14635879218472,
0 - [-12.59000015  11.          -5.29468489],BAstar - 1.0,140,88.57,2815,1418,3.14635879218472,
0 - [-12.59000015  11.          -5.29468489],BAstar - 1.0,150,88.57,2815,1418,3.14635879218472,
0 - [-12.59000015  11.          -5.29468489],BAstar - 1.0,160,88.57,2815,1418,3.14635879218472,
0 - [-12.59000015  11.          -5.29468489],BAstar - 1.0,170,88.57,2815,1418,3.14635879218472,
0 - [-12.59000015  11.          -5.29468489],BAstar - 1.0,180,88.57,2815,1418,3.14635879218472,
0 - [-12.59000015  11.          -5.29468489],BAstar - 1.0,190,88.57,2815,1418,3.14635879218472,3.36336826594904
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 1.0,0,0,0,0,#DIV/0!,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 1.0,10,36.8,1057,886,3.48155156102176,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 1.0,20,62.25,1610,1316,3.86645962732919,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 1.0,30,74.89,1956,1567,3.82873210633947,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 1.0,40,78.13,2209,1693,3.53689452240833,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 1.0,50,78.92,2369,1732,3.33136344449135,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 1.0,60,79.47,2504,1768,3.17372204472843,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 1.0,70,82.14,2734,1876,3.00438917337235,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 1.0,80,86.35,3006,2006,2.87258815701929,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 1.0,90,86.88,3222,2056,2.69646182495344,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 1.0,100,87.41,3368,2086,2.59530878859857,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 1.0,110,87.75,3526,2105,2.48865570051049,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 1.0,120,87.76,3533,2108,2.48400792527597,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 1.0,130,87.91,3579,2110,2.45627270187203,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 1.0,140,88.22,3647,2120,2.4189744995887,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 1.0,150,88.74,3746,2132,2.36892685531233,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 1.0,160,88.94,3798,2141,2.34175882043181,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 1.0,170,89.18,3900,2153,2.28666666666667,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 1.0,180,89.32,3967,2161,2.25157549785732,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 1.0,190,89.57,4070,2168,2.2007371007371,2.82552879044814
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 1.0,0,0,0,0,#DIV/0!,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 1.0,10,38.12,1018,882,3.74459724950884,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 1.0,20,64.3,1564,1379,4.11125319693095,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 1.0,30,69.88,1860,1595,3.75698924731183,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 1.0,40,70.02,1905,1607,3.6755905511811,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 1.0,50,70.63,1998,1624,3.53503503503503,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 1.0,60,81.1,2276,1802,3.56326889279438,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 1.0,70,87.61,2511,2041,3.48904818797292,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 1.0,80,89.71,2655,2149,3.3789077212806,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 1.0,90,90,2690,2165,3.3457249070632,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 1.0,100,90,2690,2165,3.3457249070632,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 1.0,110,90,2690,2165,3.3457249070632,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 1.0,120,90,2690,2165,3.3457249070632,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 1.0,130,90,2690,2165,3.3457249070632,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 1.0,140,90,2690,2165,3.3457249070632,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 1.0,150,90,2690,2165,3.3457249070632,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 1.0,160,90,2690,2165,3.3457249070632,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 1.0,170,90,2690,2165,3.3457249070632,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 1.0,180,90,2690,2165,3.3457249070632,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 1.0,190,90,2690,2165,3.3457249070632,3.47671916103741
