algorithm,max_distance,time,coverage,length,rotation
Random BAstar,1,0,0.027882284346518516,77,32
Random BAstar,1,5,0.10725661854639668,219,97
Random BAstar,1,10,0.25507104059901187,516,166
Random BAstar,1,15,0.3615762639790626,695,207
Random BAstar,1,20,0.4397818586728275,868,268
Random BAstar,1,25,0.5117106295674436,921,283
Random BAstar,1,30,0.6013458478183675,960,298
Random BAstar,1,35,0.641838770061681,1038,422
Random BAstar,1,40,0.7051523613710988,1119,445
Random BAstar,1,45,0.7444116628453941,1212,500
Random BAstar,1,50,0.8327299668141108,1248,536
Random BAstar,1,55,0.8327299668141108,1284,572
Random BAstar,1,60,0.8499524350201,1499,620
Random BAstar,1,65,0.8499524350201,1714,668
Random BAstar,1,70,0.8745853955784296,1752,681
Random BAstar,1,75,0.9055740895799815,1788,700
Random BAstar,1,80,0.9163715592107282,1858,734
Random BAstar,1,85,0.9229631448123485,1934,762
Random BAstar,1,90,0.9269007360516245,1962,769
Random BAstar,1,95,0.9327190071413228,2028,787
Random BAstar,1,100,0.9327190071413228,2093,806
Random BAstar,1,105,0.9415507498608121,2228,905
Random BAstar,1,110,0.9415507498608121,2363,1004
Random BAstar,1,115,0.9415507498608121,2498,1103
Random BAstar,1,120,0.9432157433507665,2567,1131
Random BAstar,1,125,0.9432157433507665,2636,1159
Random BAstar,1,130,0.9432157433507665,2705,1188
Random BAstar,1,135,0.9456812313411571,2764,1210
Random BAstar,1,140,0.9456812313411571,2823,1233
Random BAstar,1,145,0.9469841172421957,2852,1244
Random BAstar,1,150,0.9569381304551772,2970,1315
Random BAstar,1,155,0.9569381304551772,3088,1386
Random BAstar,1,160,0.9569381304551772,3206,1457
Random BAstar,1,165,0.9590590463331127,3288,1479
Random BAstar,1,170,0.9590590463331127,3370,1500
Random BAstar,1,175,0.9590590463331127,3451,1521
Random BAstar,1,180,0.9590590463331127,3533,1542
Random BAstar,1,185,0.9590590463331127,3615,1563
Random BAstar,1,190,0.9590590463331127,3697,1584
Random BAstar,1,195,0.9590590463331127,3779,1606
Random BAstar,1,0,0.043056608901884674,78,25
Random BAstar,1,5,0.1307795834447567,248,62
Random BAstar,1,10,0.3657917925202425,514,141
Random BAstar,1,15,0.4717805961185223,670,205
Random BAstar,1,20,0.5954889986804555,846,259
Random BAstar,1,25,0.6907934364711608,891,278
Random BAstar,1,30,0.715613149853798,954,298
Random BAstar,1,35,0.7614789420847051,1003,323
Random BAstar,1,40,0.7771670561003731,1032,355
Random BAstar,1,45,0.806111990320417,1076,407
Random BAstar,1,50,0.8194503504903358,1106,460
Random BAstar,1,55,0.8619335493119518,1196,536
Random BAstar,1,60,0.8704952456939445,1213,542
Random BAstar,1,65,0.8717420180703085,1245,560
Random BAstar,1,70,0.8863718660815663,1272,590
Random BAstar,1,75,0.8863718660815663,1299,620
Random BAstar,1,80,0.895643749260222,1465,662
Random BAstar,1,85,0.895643749260222,1631,705
Random BAstar,1,90,0.9141813782007724,1685,739
Random BAstar,1,95,0.9303955565102648,1746,807
Random BAstar,1,100,0.9341051865555502,1788,823
Random BAstar,1,105,0.9341051865555502,1831,840
Random BAstar,1,110,0.9341051865555502,1873,857
Random BAstar,1,115,0.9341051865555502,1916,873
Random BAstar,1,120,0.9341051865555502,1958,890
Random BAstar,1,125,0.9341051865555502,2001,907
Random BAstar,1,130,0.9341051865555502,2043,923
Random BAstar,1,135,0.9425125707446879,2386,980
Random BAstar,1,140,0.9425125707446879,2729,1036
Random BAstar,1,145,0.9425125707446879,3071,1093
Random BAstar,1,150,0.9425125707446879,3414,1149
Random BAstar,1,155,0.9425125707446879,3757,1206
Random BAstar,1,160,0.9425125707446879,4099,1263
Random BAstar,1,165,0.9425125707446879,4442,1319
Random BAstar,1,170,0.9425125707446879,4785,1376
Random BAstar,1,175,0.9436672818696326,4801,1382
Random BAstar,1,180,0.9436672818696326,4818,1389
Random BAstar,1,185,0.9436672818696326,4835,1395
Random BAstar,1,190,0.9444668995962456,4869,1447
Random BAstar,1,195,0.9444668995962456,4902,1498
Random BAstar,1,0,0.1406187392869198,295,67
Random BAstar,1,5,0.18852478420404284,430,117
Random BAstar,1,10,0.24422096453888276,566,171
Random BAstar,1,15,0.2790648330403448,626,193
Random BAstar,1,20,0.48914860877913624,677,233
Random BAstar,1,25,0.6083319816403561,729,246
Random BAstar,1,30,0.6528922576487557,763,279
Random BAstar,1,35,0.7012796513947279,847,311
Random BAstar,1,40,0.7138832751009385,890,363
Random BAstar,1,45,0.8617774835714505,1137,595
Random BAstar,1,50,0.8864455150827018,1201,640
Random BAstar,1,55,0.9045859654814146,1267,719
Random BAstar,1,60,0.9148091482580696,1337,808
Random BAstar,1,65,0.9148091482580696,1406,897
Random BAstar,1,70,0.9148091482580696,1476,985
Random BAstar,1,75,0.9148091482580696,1545,1074
Random BAstar,1,80,0.9244387551565261,1723,1131
Random BAstar,1,85,0.9244387551565261,1900,1187
Random BAstar,1,90,0.9244387551565261,2077,1243
Random BAstar,1,95,0.9244387551565261,2254,1300
Random BAstar,1,100,0.9244387551565261,2432,1356
Random BAstar,1,105,0.9336808280251985,2538,1429
Random BAstar,1,110,0.9336808280251985,2645,1501
Random BAstar,1,115,0.9336808280251985,2751,1573
Random BAstar,1,120,0.9370765730418352,2912,1612
Random BAstar,1,125,0.9370765730418352,3073,1650
Random BAstar,1,130,0.9370765730418352,3233,1689
Random BAstar,1,135,0.9380576829498178,3262,1699
Random BAstar,1,140,0.9380576829498178,3291,1709
Random BAstar,1,145,0.9380576829498178,3319,1719
Random BAstar,1,150,0.9456540513526428,3350,1744
Random BAstar,1,155,0.9456540513526428,3381,1770
Random BAstar,1,160,0.9456540513526428,3411,1795
Random BAstar,1,165,0.9456540513526428,3442,1820
Random BAstar,1,170,0.9456540513526428,3473,1845
Random BAstar,1,175,0.9456540513526428,3503,1871
Random BAstar,1,180,0.9456540513526428,3534,1896
