point,algorithm,coverage,Number of waypoints,length,rotation,Visits per point,time,Memory consumption,,Max dist
1 - [ 26.05999947 -11.         -10.37468719],Random BAstar,98.26,8190,5004,2279,5.22676447108634,183.4,24206,,3.5
2 - [  1.59000003 -12.5         -5.66468811],Random BAstar,98.27,7863,4703,2268,4.90001727463283,210.9,24183,,3.5
3 - [16.5         8.69999981 -5.3346858 ],Random BAstar,98.2,7721,4820,2305,4.9162678636847,191.6,24209,,3.5
4 - [-0.91000003  4.         -5.41468811],Random BAstar,98.16,7741,4771,2105,4.94043189019269,174,24210,,3.5
5 - [-20.28000069   4.5         -5.51468706],Random BAstar,98.35,8100,4887,2280,5.02310370817942,146.9,24245,,3.5
6 - [ 17.5        -13.5        -10.37468719],Random BAstar,98.17,7427,4635,2384,4.70507434838139,186.9,24219,,3.5
7 - [-10.84000015 -20.70000076  -9.66468811],Random BAstar,98.12,7476,4497,2473,4.62855666708606,169.7,24220,,3.5
8 - [ 18.96999931 -11.          -5.75468397],Random BAstar,98.28,7367,4592,2326,4.6367048838475,151.8,24237,,3.5
9 - [ 23.05999947 -10.5        -10.35468674],Random BAstar,98.36,7969,4853,2595,5.02198300232839,227.1,24261,,3.5
0 - [-12.59000015  11.          -5.29468489],Random BAstar,98.07,7740,4558,2254,4.87445012356323,264.9,9878,,2.5
1 - [ 26.05999947 -11.         -10.37468719],Random BAstar,98.19,7381,4513,2322,4.75887845300419,222.5,24160,,2.5
2 - [  1.59000003 -12.5         -5.66468811],Random BAstar,98.11,7446,4490,2088,4.65851156542442,275.2,24164,,2.5
3 - [16.5         8.69999981 -5.3346858 ],Random BAstar,98.36,7472,4636,2615,4.82063268511034,278.9,24216,,2.5
4 - [-0.91000003  4.         -5.41468811],Random BAstar,98.19,8034,4814,2281,5.05833519144496,326,24222,,2.5
5 - [-20.28000069   4.5         -5.51468706],Random BAstar,98.26,7605,4541,2187,4.79123078047016,260.4,24230,,2.5
6 - [ 17.5        -13.5        -10.37468719],Random BAstar,98.22,7403,4537,2470,4.73696845971437,222.7,24187,,2.5
7 - [-10.84000015 -20.70000076  -9.66468811],Random BAstar,98.08,7763,4619,2696,4.86595030197646,334.2,24215,,2.5
8 - [ 18.96999931 -11.          -5.75468397],Random BAstar,98.25,7392,4511,2367,4.63279078681131,224.4,24223,,2.5
9 - [ 23.05999947 -10.5        -10.35468674],Random BAstar,98.18,7862,4716,2631,4.91697574689561,389,24236,,2.5
