point,algorithm,time,coverage,length,rotation
0 - [-12.59000015  11.          -5.29468489],BAstar,300,98.65,5777,4141
0 - [-12.59000015  11.          -5.29468489],BAstar,310,98.65,5777,4141
0 - [-12.59000015  11.          -5.29468489],BAstar,320,98.65,5846,4154
0 - [-12.59000015  11.          -5.29468489],BAstar,330,98.65,5846,4154
0 - [-12.59000015  11.          -5.29468489],BAstar,340,98.69,5859,4163
0 - [-12.59000015  11.          -5.29468489],BAstar,350,98.69,5859,4163
0 - [-12.59000015  11.          -5.29468489],BAstar,360,98.74,5888,4172
0 - [-12.59000015  11.          -5.29468489],BAstar,370,98.74,5888,4172
0 - [-12.59000015  11.          -5.29468489],BAstar,380,98.88,5895,4191
0 - [-12.59000015  11.          -5.29468489],BAstar,390,98.88,5895,4191
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,0,0,0,0
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,10,24.6,1069,1682
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,20,37.94,1743,2768
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,30,55.45,2230,3564
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,40,61.07,2569,4036
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,50,62.69,2810,4394
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,60,63.39,2990,4645
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,70,66.54,3214,4969
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,80,71.26,3410,5195
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,90,79.78,3619,5510
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,100,83.19,3776,5723
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,110,87.6,3966,5977
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,120,91.47,4165,6256
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,130,94.96,4343,6540
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,140,97.42,4516,6830
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,150,98.52,4657,7019
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,160,98.83,4776,7200
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,170,98.86,4847,7239
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,180,98.86,4871,7268
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,190,98.94,4949,7275
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,200,98.94,4952,7279
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,210,98.94,4952,7279
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,220,98.94,4952,7279
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,230,98.94,4952,7279
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,240,98.94,4952,7279
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,250,98.94,4952,7279
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,260,98.94,4952,7279
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,270,98.94,4952,7279
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,280,98.94,4952,7279
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,290,98.94,4952,7279
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,300,98.94,4952,7279
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,310,98.94,4952,7279
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,320,98.94,4952,7279
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,330,98.94,4952,7279
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,340,98.94,4952,7279
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,350,98.94,4952,7279
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,360,98.94,4952,7279
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,370,98.94,4952,7279
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,380,98.94,4952,7279
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,390,98.94,4952,7279
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,0,0,0,0
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,10,27.42,1143,1361
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,20,41.13,1696,2051
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,30,54.96,2151,2581
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,40,64.89,2503,3030
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,50,72.34,2835,3452
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,60,76.27,3149,3839
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,70,76.73,3440,4178
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,80,80.36,3706,4548
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,90,80.72,3964,4831
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,100,81.79,4207,5105
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,110,81.86,4429,5307
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,120,82.7,4651,5574
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,130,88.36,4871,5834
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,140,90.67,5098,6128
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,150,92.04,5327,6410
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,160,92.39,5526,6590
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,170,95.88,5736,6809
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,180,97.65,5934,7029
