Start point,Algorithm,Coverage efficiency,Number of waypoints,Length of path,Total rotation,Visits per point,Computational time,Memory consumption
0 - [-12.59000015  11.          -5.29468489],Random BAstar,98.13,7548,4545,2365,4.65248558335793,192.4,9920
1 - [ 26.05999947 -11.         -10.37468719],Random BAstar,98.26,8190,5004,2279,5.22676447108634,208.4,24206
2 - [  1.59000003 -12.5         -5.66468811],Random BAstar,98.27,7863,4703,2268,4.90001727463283,235.9,24183
3 - [16.5         8.69999981 -5.3346858 ],Random BAstar,98.2,7721,4820,2305,4.9162678636847,216.6,24209
4 - [-0.91000003  4.         -5.41468811],Random BAstar,98.16,7741,4771,2105,4.94043189019269,199,24210
5 - [-20.28000069   4.5         -5.51468706],Random BAstar,98.35,8100,4887,2280,5.02310370817942,171.9,24245
6 - [ 17.5        -13.5        -10.37468719],Random BAstar,98.17,7427,4635,2384,4.70507434838139,211.9,24219
7 - [-10.84000015 -20.70000076  -9.66468811],Random BAstar,98.12,7476,4497,2473,4.62855666708606,194.7,24220
8 - [ 18.96999931 -11.          -5.75468397],Random BAstar,98.28,7367,4592,2326,4.6367048838475,176.8,24237
9 - [ 23.05999947 -10.5        -10.35468674],Random BAstar,98.36,7969,4853,2595,5.02198300232839,252.1,24261
,,,,,,,,
,,98.23,7740.2,4730.7,2338,4.86513896927773,205.97,22791
,,0.086794777108609,287.458132217159,163.958700761977,130.973279717658,0.202435465565458,24.8310759600411,4522.46211211941
,,,,,,,180.97,
