point,algorithm,time,coverage,length,rotation
4 - [-0.91000003  4.         -5.41468811],BAstar,450,97.46,3779,1785
4 - [-0.91000003  4.         -5.41468811],BAstar,460,97.46,3779,1785
4 - [-0.91000003  4.         -5.41468811],BAstar,470,97.46,3779,1785
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,0,0,0,0
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,10,33.71,980,958
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,20,40.39,1298,1241
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,30,48.62,1654,1555
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,40,56.63,2069,1899
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,50,60.88,2301,2101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,60,72.67,2622,2470
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,70,89.45,2953,2727
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,80,96.01,3196,2985
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,90,97.9,3341,3091
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,100,97.9,3341,3091
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,110,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,120,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,130,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,140,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,150,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,160,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,170,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,180,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,190,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,200,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,210,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,220,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,230,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,240,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,250,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,260,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,270,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,280,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,290,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,300,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,310,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,320,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,330,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,340,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,350,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,360,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,370,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,380,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,390,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,400,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,410,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,420,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,430,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,440,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,450,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,460,97.98,3456,3101
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,470,97.98,3456,3101
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,0,0,0,0
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,10,31.52,1008,1027
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,20,55.89,1510,1534
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,30,68.79,1819,1840
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,40,75.97,2134,2129
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,50,83.08,2410,2364
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,60,83.32,2644,2443
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,70,88.95,2844,2580
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,80,96.11,3070,2783
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,90,97.44,3305,2915
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,100,97.63,3502,2977
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,110,97.71,3645,3017
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,120,97.74,3741,3037
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,130,97.79,3852,3051
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,140,97.84,3968,3077
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,150,97.85,4040,3089
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,160,97.89,4131,3098
