point,algorithm,time,coverage,length,rotation
0 - [-12.59000015  11.          -5.29468489],BAstar,210,98.52,5058,2939
0 - [-12.59000015  11.          -5.29468489],BAstar,220,98.52,5089,2942
0 - [-12.59000015  11.          -5.29468489],BAstar,230,98.52,5089,2942
0 - [-12.59000015  11.          -5.29468489],BAstar,240,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,250,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,260,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,270,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,280,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,290,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,300,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,310,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,320,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,330,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,340,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,350,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,360,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,370,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,380,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,390,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,400,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,410,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,420,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,430,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,440,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,450,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,460,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,470,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,0,0,0,0
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,10,29.02,1059,1577
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,20,48.48,1650,2353
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,30,54.24,1979,2818
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,40,60.11,2297,3285
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,50,66.34,2634,3737
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,60,66.49,2816,3956
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,70,66.74,2996,4169
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,80,68.31,3116,4298
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,90,76.92,3350,4715
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,100,82.15,3546,4939
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,110,86.43,3756,5241
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,120,89.64,3956,5486
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,130,92.73,4127,5706
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,140,96.37,4327,5973
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,150,98.6,4483,6165
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,160,98.66,4603,6331
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,170,98.68,4697,6397
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,180,98.68,4697,6397
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,190,98.68,4697,6397
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,200,98.68,4697,6397
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,210,98.68,4697,6397
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,220,98.68,4697,6397
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,230,98.68,4697,6397
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,240,98.68,4697,6397
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,250,98.68,4697,6397
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,260,98.68,4697,6397
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,270,98.68,4697,6397
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,280,98.68,4697,6397
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,290,98.68,4697,6397
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,300,98.68,4697,6397
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,310,98.68,4697,6397
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,320,98.68,4697,6397
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,330,98.68,4697,6397
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,340,98.68,4697,6397
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,350,98.68,4697,6397
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,360,98.68,4697,6397
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,370,98.68,4697,6397
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,380,98.68,4697,6397
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,390,98.68,4697,6397
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,400,98.68,4697,6397
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,410,98.68,4697,6397
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,420,98.68,4697,6397
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,430,98.68,4697,6397
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,440,98.68,4697,6397
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,450,98.68,4697,6397
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,460,98.68,4697,6397
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,470,98.68,4697,6397
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,0,0,0,0
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,10,29.85,1131,1246
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,20,45.42,1640,1815
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,30,61.99,2112,2376
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,40,69.75,2424,2760
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,50,76.17,2688,3084
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,60,85.0,2941,3373
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,70,86.65,3216,3693
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,80,88.33,3446,3921
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,90,91.06,3688,4198
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,100,92.33,3953,4501
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,110,95.12,4221,4816
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,120,97.45,4476,5068
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,130,97.57,4703,5227
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,140,97.89,4935,5442
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,150,98.06,5168,5653
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,160,98.82,5387,5844
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,170,98.99,5595,6023
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,180,99.01,5772,6118
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,190,99.02,5973,6240
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,200,99.03,6098,6275
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,210,99.04,6272,6372
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,220,99.05,6460,6474
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,230,99.07,6660,6597
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,240,99.07,6814,6652
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,250,99.08,6965,6723
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,260,99.09,7093,6765
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,270,99.1,7208,6798
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,280,99.1,7345,6859
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,290,99.11,7503,6923
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,300,99.12,7627,6947
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,310,99.12,7746,6965
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,320,99.12,7834,6983
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,330,99.13,7956,7019
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,340,99.13,7974,7020
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,350,99.13,8024,7029
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,360,99.15,8121,7056
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,370,99.15,8218,7081
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,380,99.16,8308,7107
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,390,99.16,8308,7107
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,400,99.16,8308,7107
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,410,99.16,8308,7107
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,420,99.16,8308,7107
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,430,99.16,8308,7107
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,440,99.16,8308,7107
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,450,99.16,8308,7107
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,460,99.16,8308,7107
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,470,99.16,8308,7107
1 - [ 26.05999947 -11.         -10.37468719],BAstar,0,0,0,0
1 - [ 26.05999947 -11.         -10.37468719],BAstar,10,29.53,1154,605
1 - [ 26.05999947 -11.         -10.37468719],BAstar,20,60.72,2017,958
1 - [ 26.05999947 -11.         -10.37468719],BAstar,30,65.39,2336,1153
