Start point,Algorithm,Coverage efficiency,Number of waypoints,Length of path,Total rotation,Visits per point,Computational time,Memory consumption
0 - [-12.59000015  11.          -5.29468489],Random BAstar,98.14,7801,4811,2237,4.86201798276629,178.4,9853
1 - [ 26.05999947 -11.         -10.37468719],Random BAstar,98.37,8073,5121,2201,5.24874246435166,254.5,24178
2 - [  1.59000003 -12.5         -5.66468811],Random BAstar,98.54,7816,4878,2052,4.88114905880733,172.2,24182
3 - [16.5         8.69999981 -5.3346858 ],Random BAstar,98.31,7618,4889,1963,5.08080720850334,172.2,24209
4 - [-0.91000003  4.         -5.41468811],Random BAstar,98.47,8184,5115,2241,5.16508029690509,201.7,24243
5 - [-20.28000069   4.5         -5.51468706],Random BAstar,98.42,7587,4649,2077,4.7797453285621,169.3,24228
6 - [ 17.5        -13.5        -10.37468719],Random BAstar,98.33,8168,5192,2416,5.30554875252145,309.7,24238
7 - [-10.84000015 -20.70000076  -9.66468811],Random BAstar,98.47,8132,5070,2187,5.20563912413377,194.4,24177
8 - [ 18.96999931 -11.          -5.75468397],Random BAstar,98.33,7980,4962,2296,4.96131579017653,182.1,24193
9 - [ 23.05999947 -10.5        -10.35468674],Random BAstar,98.22,8082,5074,1961,5.17343796952758,153.3,24225
