Start point,Algorithm,Coverage efficiency,Number of waypoints,Length of path,Total rotation,Visits per point,Computational time,Memory consumption
0 - [ -5.30999994 -20.29999924 -10.27468491],Inward Spiral,98.14,7535,5353,6574,5.753992446686298,168.1,9703.3
0 - [ -5.30999994 -20.29999924 -10.27468491],BAstar,98.48,7746,4963,4214,5.237354625069099,180.2,24006.1
0 - [ -5.30999994 -20.29999924 -10.27468491],BAstar Variant,98.21,7519,5155,7558,5.569801877810386,162.1,23980.8
1 - [-23.44000053  -0.5         -6.21468687],Inward Spiral,98.04,8089,6453,7402,6.834983029399622,253.7,23979.4
1 - [-23.44000053  -0.5         -6.21468687],BAstar,98.0,7613,5213,4025,5.49468778924121,236.5,24057.6
1 - [-23.44000053  -0.5         -6.21468687],BAstar Variant,98.1,7641,5623,7630,6.054039849738112,237.1,23988.8
