algorithm,max_distance,time,coverage,length,rotation
Random BAstar,4,70,0.783487718590674,923,315
Random BAstar,4,75,0.807538501330504,940,370
Random BAstar,4,80,0.817225975301281,964,393
Random BAstar,4,85,0.82542030345142,984,403
Random BAstar,4,90,0.831147390063522,998,405
Random BAstar,4,95,0.844300750956779,1015,416
Random BAstar,4,100,0.865467824592629,1031,437
Random BAstar,4,105,0.865467824592629,1048,458
Random BAstar,4,110,0.865467824592629,1064,479
Random BAstar,4,115,0.867174903226089,1076,479
Random BAstar,4,120,0.867174903226089,1088,479
Random BAstar,4,125,0.870129631009737,1106,491
Random BAstar,4,130,0.870129631009737,1125,503
Random BAstar,4,135,0.878649242248224,1246,519
Random BAstar,4,140,0.878649242248224,1367,535
Random BAstar,4,145,0.88397388967555,1396,548
Random BAstar,4,150,0.88397388967555,1424,561
Random BAstar,4,155,0.88397388967555,1452,574
Random BAstar,4,160,0.88397388967555,1480,587
Random BAstar,4,165,0.88397388967555,1509,600
Random BAstar,4,170,0.88397388967555,1537,613
Random BAstar,4,175,0.88397388967555,1565,626
Random BAstar,4,180,0.88397388967555,1593,639
Random BAstar,4,185,0.88397388967555,1622,652
Random BAstar,4,190,0.88397388967555,1650,665
Random BAstar,4,195,0.88397388967555,1678,678
Random BAstar,5,0,0.0191531241643249,38,17
Random BAstar,5,5,0.130616503513671,234,69
Random BAstar,5,10,0.195152317532408,338,83
Random BAstar,5,15,0.319205292206796,412,149
Random BAstar,5,20,0.386645857901266,443,161
Random BAstar,5,25,0.531713347566295,552,223
Random BAstar,5,30,0.59704439544253,564,232
Random BAstar,5,35,0.645086340302224,596,277
Random BAstar,5,40,0.677038608735298,661,311
Random BAstar,5,45,0.709147819682696,674,326
Random BAstar,5,50,0.732647111687833,701,340
Random BAstar,5,55,0.752997032120609,716,351
Random BAstar,5,60,0.762387279765375,745,370
Random BAstar,5,65,0.777828143562946,776,377
Random BAstar,5,70,0.804339153650229,821,418
Random BAstar,5,75,0.820135987619954,830,429
Random BAstar,5,80,0.834417756423464,857,436
Random BAstar,5,85,0.837956415573257,868,449
Random BAstar,5,90,0.842990850865156,880,493
Random BAstar,5,95,0.846271738510975,892,501
Random BAstar,5,100,0.855525209439347,904,514
Random BAstar,5,105,0.862509589713689,957,527
Random BAstar,5,110,0.862509589713689,1009,539
Random BAstar,5,115,0.871430763363129,1061,565
Random BAstar,5,120,0.871430763363129,1112,591
Random BAstar,5,125,0.876706311456365,1121,603
Random BAstar,5,130,0.876706311456365,1130,616
Random BAstar,5,135,0.876706311456365,1138,629
Random BAstar,5,140,0.876706311456365,1147,641
Random BAstar,5,145,0.876706311456365,1156,654
Random BAstar,5,150,0.876706311456365,1164,666
Random BAstar,5,155,0.876706311456365,1173,679
Random BAstar,5,160,0.876706311456365,1181,692
Random BAstar,5,165,0.876706311456365,1190,704
Random BAstar,5,170,0.876706311456365,1199,717
Random BAstar,5,175,0.876706311456365,1207,729
Random BAstar,5,180,0.876706311456365,1216,742
Random BAstar,5,185,0.876706311456365,1224,755
Random BAstar,5,190,0.876706311456365,1233,767
Random BAstar,5,195,0.876706311456365,1242,780
Random BAstar,6,0,0.0523705772240464,119,75
Random BAstar,6,5,0.105038380774104,155,82
Random BAstar,6,10,0.247153772976954,268,119
Random BAstar,6,15,0.399134624236659,321,137
Random BAstar,6,20,0.441641495951497,421,173
Random BAstar,6,25,0.500697473576229,628,271
Random BAstar,6,30,0.615617972109825,667,290
Random BAstar,6,35,0.661443432744872,706,311
Random BAstar,6,40,0.733700117049305,724,323
Random BAstar,6,45,0.740067248552227,742,337
Random BAstar,6,50,0.754006198790929,759,341
Random BAstar,6,55,0.779826311105656,771,342
Random BAstar,6,60,0.794151918600318,793,348
Random BAstar,6,65,0.80121959238785,802,351
Random BAstar,6,70,0.816250126036237,860,380
Random BAstar,6,75,0.82319417471472,874,414
Random BAstar,6,80,0.830992201096844,887,433
Random BAstar,6,85,0.836273009833018,902,471
Random BAstar,6,90,0.836273009833018,916,508
Random BAstar,6,95,0.843325778465558,937,530
Random BAstar,6,100,0.847821874630111,957,545
Random BAstar,6,105,0.847821874630111,978,559
Random BAstar,6,110,0.859697776063198,1036,590
Random BAstar,6,115,0.859697776063198,1094,621
Random BAstar,6,120,0.869902546589569,1108,628
