point,algorithm,time,coverage,length,rotation
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,290,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,300,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,310,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,320,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,330,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,340,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,350,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,360,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,370,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,380,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,390,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,0,0,0,0
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,10,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,20,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,30,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,40,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,50,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,60,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,70,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,80,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,90,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,100,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,110,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,120,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,130,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,140,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,150,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,160,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,170,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,180,21.19,549,656
